"pid","pname","pcategory","purchaseprice","saleprice","pstock","pdescription","pimage","profit","barcode","status","sold","withdraw","stockup","stockout","supplier","stkprice","wholeprice","last_update","last_wupdate","expiry_date"
"5","SNG - DSR Carpet Matt - Putra / Satria ","DSR Products","126.5","285","22",,,"158.5","DSR-1001",,"26","0","0","0","9","0","0",,,
"6"," SNG - DSR Carpet Matt - Wira / Waja","DSR Products","113.52","285","0",,,"171.48","DSR-1002",,"0","0","0","0","9","0","0",,,
"7"," SNG - DSR Carpet Matt - Satria NEO","DSR Products","149.6","285","0",,,"135.4","DSR-1003",,"3","0","0","0","9","0","0",,,
"8","DSR Delrin Gear Shift Knob ","DSR Products","80","152","15",,,"72","DSR-1007",,"11","0","0","0","10","0","0",,,
"9"," SNG - DSR Cam-Valley Cover  ","DSR Products","350","665","11",,,"315","DSR-1010",,"0","0","0","0","10","0","0",,,
"10"," SNG - DSR Battery Clamp ","DSR Products","70","133","11",,,"63","DSR-1011",,"14","0","0","0","10","0","0",,,
"11","SNG - DSR Pedal Kit with Foot rest ","DSR Products","120","228","10",,,"108","DSR-1016",,"2","0","0","0","10","0","0",,,
"12","SNG - DSR Pedal Kit w/o Foot Rest ","DSR Products","90","171","4",,,"81","DSR-1017",,"6","0","0","0","10","0","0",,,
"13","SNG - DSR Aluminum Bosskit Extender 60mm","DSR Products","170","435","30",,,"265","DSR-1023",,"5","0","0","0","10","0","0",,,
"14","SNG - DSR Satria Neo Billet Door Knob","Accessories","50","112","3",,,"62","DSR-2054",,"2","0","0","0","10","0","0",,,
"15","SNG - DSR Baseball Cap ","DSR Products","24.5","50","49",,,"25.5","DSR-1018",,"9","0","0","0","11","0","0",,,
"16","SNG - DSR Foldable Chair","DSR Products","85","129","2",,,"44","DSR-1019",,"0","0","0","0","11","0","0",,,
"17"," SNG - DSR T-Shirt (Black) - Size S","DSR Products","21","48","6",,,"27","DSR-1020_1",,"3","0","0","0","11","0","0",,,
"18","SNG - DSR T-Shirt (Red) - Size S","DSR Products","20","48","7",,,"28","DSR-1021_1",,"2","0","0","0","11","0","0",,,
"19","SNG - DSR Umbrella","DSR Products","30","49","27",,,"19","DSR-1022",,"6","0","0","0","11","0","0",,,
"20","Proton Putra CF Kevlar","DSR Products","2600","4940","4",,,"2340","DSR-1013",,"5","0","0","0","12","0","0",,,
"21"," SNG - Satria Neo CF Bonet Hood  ","DSR Products","1600","2432","2",,,"832","DSR-1014",,"1","0","0","0","12","0","0",,,
"22","SNG - Satria Neo S2000 Aero Kit","DSR Products","2455","3732","1",,,"1277","DSR-1015",,"0","0","0","0","12","0","0",,,
"23","SNG - Eng. Mounting - Satria Neo (AT/MT)","Chassis","280","532","6",,,"252","DSR-3PSN0071AM",,"3","0","0","0","13","0","0",,,
"24","SNG - Eng. Mounting - Wira/Satria/Putra (MT)","Chassis","200","380","6",,,"180","DSR-3PW0008M",,"4","0","0","0","13","0","0",,,
"25","SNG - Abs. Mounting (FR) - Wira/Satria/Putra","Chassis","36","69","12",,,"33","DSR-3MB808306",,"10","0","0","0","13","0","0",,,
"26","SNG - Abs. Mounting (FR) - Satria Neo","Chassis","40","95","6",,,"55","DSR-3PW820608",,"4","0","0","0","13","0","0",,,
"27","SNG - Vanila X3 ï¿½ GPS Tracker","Accessories","687","1156","0",,,"469","DSR-2009",,"0","0","0","0","14","0","0",,,
"28"," SNG - Steelman 2 Way Alarm System","Accessories","410","779","11",,,"369","DSR-2014",,"0","0","0","0","14","0","0",,,
"29","SNG - TPMS - Solar","Accessories","288","399","1",,,"111","DSR-2012",,"0","0","0","0","14","0","0",,,
"30","SNG - TPMS - Android",,"288","349","0",,,"61","DSR-2013",,"0","0","0","0","14","0","0",,,
"31","Kappa 603cf","Infinity","1500","2388","1",,,"888","DSR-2015",,"0","0","0","0","15","0","0",,,
"32","SNG - Kappa 63xf","Infinity","820","1388","1",,,"568","DSR-2016",,"0","0","0","0","15","0","0",,,
"33","SNG - Basslink Mini","Infinity","820","1388","2",,,"568","DSR-2017",,"0","0","0","0","15","0","0",,,
"34","SNG - Basslink DC","Infinity","1680","2788","2",,,"1108","DSR-2018",,"0","0","0","0","15","0","0",,,
"35","Reference 6530cx","Infinity","600","888","2",,,"288","DSR-2019",,"0","0","0","0","15","0","0",,,
"36","Reference 6532ix","Infinity","325","488","2",,,"163","DSR-2020",,"0","0","0","0","15","0","0",,,
"37","Kappa K2","Infinity","1000","1588","2",,,"588","DSR-2021",,"0","0","0","0","15","0","0",,,
"38","SNG - STORM DST S1 - DBK","Sports Rim","2300","2380","1",,,"80","DSR-4001",,"0","0","0","0","16","0","0",,,
"39","SNG - STORM DST S1 - DGM","Sports Rim","2300","2380","1",,,"80","DSR-4002",,"0","0","0","0","16","0","0",,,
"40","ADVANTI DST ARIA - GGM","Sports Rim","2300","2880","1",,,"580","DSR-4003",,"0","0","0","0","16","0","0",,,
"41","ADVANTI RACING HYBRIS - GBK","Sports Rim","2395","3280","1",,,"885","DSR-4004",,"0","0","0","0","16","0","0",,,
"42","SNG - ADVANTI RACING ORIGIN - GBK1RL","Sports Rim","1520","2080","1",,,"560","DSR-4005",,"0","0","0","0","16","0","0",,,
"43","ADVANTI DSTREAGAN - TBK1F01","Sports Rim","2865","3880","1",,,"1015","DSR-4006",,"0","0","0","0","16","0","0",,,
"44","KONIG OVERSTEER - GBK","Sports Rim","2495","3280","1",,,"785","DSR-4007",,"0","0","0","0","16","0","0",,,
"45","KONIG ULTRAGRAM - GQ","Sports Rim","2950","3880","1",,,"930","DSR-4008",,"0","0","0","0","16","0","0",,,
"46","KONIG COUNTERGRAM - CHROME","Sports Rim","2950","3880","1",,,"930","DSR-4009",,"0","0","0","0","16","0","0",,,
"47","SNG - ENKEI TUNING SC22 - DGMB","Sports Rim","2710","2980","1",,,"270","DSR-4010",,"0","0","0","0","16","0","0",,,
"48","ENKEI PHONIEX - GBK","Sports Rim","2135","2880","1",,,"745","DSR-4011",,"0","0","0","0","16","0","0",,,
"49","ENKEI TUNING SC49 - GM","Sports Rim","2770","3580","1",,,"810","DSR-4012",,"0","0","0","0","16","0","0",,,
"50"," DSR T-Shirt (Red) - Size M","Merchandise","20","48","22",,,"28","DSR-1021_2",,"0","0","0","0","11","0","0",,,
"51"," DSR T-Shirt (Red) - Size L","Merchandise","20","48","41",,,"28","DSR-1021_3",,"2","0","0","0","11","0","0",,,
"52"," DSR T-Shirt (Red) - Size XL","Merchandise","20","48","37",,,"28","DSR-1021_4",,"2","0","0","0","11","0","0",,,
"53"," DSR T-Shirt (Red) - Size 2XL","Merchandise","20","48","27",,,"28","DSR-1021_5",,"1","0","0","0","11","0","0",,,
"54"," DSR T-Shirt (Black) - Size M","Merchandise","21","48","8",,,"27","DSR-1020_2",,"9","0","0","0","11","0","0",,,
"55"," DSR T-Shirt (Black) - Size L","Merchandise","21","60","28",,,"39","DSR-1020_3",,"9","0","0","0","11","0","0",,,
"56"," DSR T-Shirt (Black) - Size XL","Merchandise","21","48","27",,,"27","DSR-1020_4",,"8","0","0","0","11","0","0",,,
"57"," DSR T-Shirt (Black) - Size 2XL","Merchandise","21","48","11",,,"27","DSR-1020_5",,"14","0","0","0","11","0","0",,,
"58","Combo Package 1 (DSR_Carpet/T-Shirt/Cap)","Merchandise","300","310","100",,,"10","DSR_0000",,"1","0","0","0","11","0","0",,,
"59","Combo Package 2 (DSR_Umbrella/T-Shirt/Cap)","Merchandise","138","130","99",,,"-8","DSR_0000CP2",,"0","0","0","0","11","0","0",,,
"62","Test Product wp","Sports Rim","55","66","54",,,"11","DSR-TEST1",,"4","0","0","0","17","0","0",,,
"63","Kappa K2","Infinity","1588","0","2",,,"0","DSR-1052",,"0","0","0","0",,"0","0",,,
"64","Reference 6532ix","Infinity","488","0","2",,,"0","DSR-1051",,"0","0","0","0",,"0","0",,,
"65","Reference 6530cx","Infinity","888","0","2",,,"0","DSR-1050",,"0","0","0","0",,"0","0",,,
"66","Basslink DC","Infinity","2788","0","2",,,"0","DSR-1049",,"0","0","0","0",,"0","0",,,
