"id","cid","invid","pid","delid","inv_date","po_date","do_date"
"1","0","3","0","0","2023-06-05 02:30:24",,"2023-06-05 02:30:24"
"2","0","4","0","0","2023-06-05 02:36:10",,"2023-06-05 02:36:10"
"3","0","5","0","0","2023-06-05 02:38:31",,"2023-06-05 02:38:31"
"4","0","17","0","0","2023-06-05 02:52:34",,"2023-06-05 02:52:34"
"5","0","18","0","0","2023-06-05 02:55:11",,"2023-06-05 02:55:11"
"6","0","18","0","0","2023-06-05 02:55:11",,"2023-06-05 02:55:11"
"7","0","19","0","0","2023-06-05 02:59:45",,"2023-06-05 02:59:45"
"8","0","22","0","0","2023-06-05 03:01:44",,"2023-06-05 03:01:44"
"9","0","23","0","0","2023-06-05 03:02:12",,"2023-06-05 03:02:12"
"10","0","23","0","0","2023-06-05 03:02:12",,"2023-06-05 03:02:12"
"11","0","24","0","0","2023-06-09 19:53:10",,"2023-06-09 19:53:10"
"12","0","24","0","0","2023-06-09 19:53:10",,"2023-06-09 19:53:10"
"13","0","25","0","0","2023-06-09 19:54:06",,"2023-06-09 19:54:06"
"14","0","25","0","0","2023-06-09 19:54:06",,"2023-06-09 19:54:06"
"15","0","26","0","0","2023-06-09 19:54:26",,"2023-06-09 19:54:26"
"16","0","26","0","0","2023-06-09 19:54:26",,"2023-06-09 19:54:26"
"17","0","27","0","0","2023-07-08 03:36:16",,"2023-07-08 03:36:16"
"18","0","30","0","0","2023-07-09 02:01:48",,"2023-07-09 02:01:48"
"19","0","31","0","0","2023-07-09 02:01:57",,"2023-07-09 02:01:57"
"20","39","32","0","0","2023-07-09 02:28:20",,"2023-07-09 02:28:20"
"21","0","34","0","0","2023-07-17 02:30:56",,"2023-07-17 02:30:56"
"22","0","34","0","0","2023-07-17 02:30:56",,"2023-07-17 02:30:56"
"23","43","35","0","0","2023-07-17 02:36:14",,"2023-07-17 02:36:14"
"24","0","36","0","0","2023-07-18 14:58:25",,"2023-07-18 14:58:25"
"25","0","1","0","0","2023-07-27 10:48:51",,"2023-07-27 10:48:51"
"26","46","2","0","0","2023-07-27 11:14:21",,"2023-07-27 11:14:21"
"27","46","3","0","0","2023-07-27 11:16:45",,"2023-07-27 11:16:45"
"28","46","4","0","0","2023-07-27 11:17:50",,"2023-07-27 11:17:50"
"29","47","5","0","0","2023-07-27 11:19:19",,"2023-07-27 11:19:19"
"30","47","6","0","0","2023-07-27 11:24:53",,"2023-07-27 11:24:53"
"31","48","7","0","0","2023-07-27 12:36:21",,"2023-07-27 12:36:21"
"32","48","7","0","0","2023-07-27 12:36:21",,"2023-07-27 12:36:21"
"33","48","7","0","0","2023-07-27 12:36:21",,"2023-07-27 12:36:21"
"34","48","7","0","0","2023-07-27 12:36:21",,"2023-07-27 12:36:21"
"35","49","0","0","0","2023-07-28 08:44:01",,"2023-07-28 08:44:01"
"36","49","0","0","0","2023-07-28 08:44:01",,"2023-07-28 08:44:01"
"37","49","0","0","0","2023-07-28 08:44:01",,"2023-07-28 08:44:01"
"38","49","0","0","0","2023-07-28 08:44:01",,"2023-07-28 08:44:01"
"39","49","0","0","0","2023-07-28 08:44:01",,"2023-07-28 08:44:01"
"40","49","0","0","0","2023-07-28 08:44:01",,"2023-07-28 08:44:01"
"41","49","8","0","0","2023-07-28 08:49:25",,"2023-07-28 08:49:25"
"42","49","8","0","0","2023-07-28 08:49:25",,"2023-07-28 08:49:25"
"43","49","8","0","0","2023-07-28 08:49:25",,"2023-07-28 08:49:25"
"44","49","8","0","0","2023-07-28 08:49:25",,"2023-07-28 08:49:25"
"45","49","8","0","0","2023-07-28 08:49:25",,"2023-07-28 08:49:25"
"46","49","8","0","0","2023-07-28 08:49:25",,"2023-07-28 08:49:25"
"47","49","9","0","0","2023-07-28 13:57:20",,"2023-07-28 13:57:20"
"48","49","9","0","0","2023-07-28 13:57:20",,"2023-07-28 13:57:20"
"49","47","10","0","0","2023-07-28 15:00:00",,"2023-07-28 15:00:00"
"50","47","11","0","0","2023-07-28 15:01:42",,"2023-07-28 15:01:42"
"51","47","12","0","0","2023-07-28 15:06:59",,"2023-07-28 15:06:59"
"52","47","13","0","0","2023-07-29 00:19:35",,"2023-07-29 00:19:35"
"53","47","13","0","0","2023-07-29 00:19:35",,"2023-07-29 00:19:35"
"54","47","0","0","0","2023-07-29 10:48:42",,"2023-07-29 10:48:42"
"55","47","0","0","0","2023-07-29 10:48:42",,"2023-07-29 10:48:42"
"56","47","0","0","0","2023-07-29 10:48:42",,"2023-07-29 10:48:42"
"57","47","0","0","0","2023-07-29 10:48:42",,"2023-07-29 10:48:42"
"58","47","14","0","0","2023-07-29 10:50:40",,"2023-07-29 10:50:40"
"59","47","14","0","0","2023-07-29 10:50:40",,"2023-07-29 10:50:40"
"60","47","14","0","0","2023-07-29 10:50:40",,"2023-07-29 10:50:40"
"61","47","14","0","0","2023-07-29 10:50:40",,"2023-07-29 10:50:40"
"62","47","15","0","0","2023-07-29 10:55:26",,"2023-07-29 10:55:26"
"63","47","16","0","0","2023-07-29 12:38:54",,"2023-07-29 12:38:54"
"64","47","17","0","0","2023-07-29 13:07:27",,"2023-07-29 13:07:27"
"65","47","18","0","0","2023-07-29 14:44:59",,"2023-07-29 14:44:59"
"66","47","18","0","0","2023-07-29 14:44:59",,"2023-07-29 14:44:59"
"67","47","19","0","0","2023-07-29 14:48:01",,"2023-07-29 14:48:01"
"68","47","20","0","0","2023-07-29 14:55:45",,"2023-07-29 14:55:45"
"69","47","21","0","0","2023-07-29 14:59:52",,"2023-07-29 14:59:52"
"70","47","21","0","0","2023-07-29 14:59:52",,"2023-07-29 14:59:52"
"71","47","22","0","0","2023-07-29 15:07:17",,"2023-07-29 15:07:17"
"72","47","23","0","0","2023-07-29 15:09:03",,"2023-07-29 15:09:03"
"73","47","24","0","0","2023-07-29 15:14:22",,"2023-07-29 15:14:22"
"74","47","25","0","0","2023-07-29 15:28:57",,"2023-07-29 15:28:57"
"75","47","26","0","0","2023-07-29 15:48:32",,"2023-07-29 15:48:32"
"76","47","27","0","0","2023-07-29 15:56:03",,"2023-07-29 15:56:03"
"77","47","28","0","0","2023-07-29 15:58:26",,"2023-07-29 15:58:26"
"78","0","29","0","0","2023-07-29 17:24:19",,"2023-07-29 17:24:19"
"79","0","30","0","0","2023-07-29 17:25:53",,"2023-07-29 17:25:53"
"80","0","31","0","0","2023-07-29 17:44:06",,"2023-07-29 17:44:06"
"81","0","32","0","0","2023-07-29 17:44:49",,"2023-07-29 17:44:49"
"82","0","33","0","0","2023-07-29 17:56:10",,"2023-07-29 17:56:10"
"83","47","34","0","0","2023-07-30 09:30:48",,"2023-07-30 09:30:48"
"84","47","35","0","0","2023-07-30 11:04:19",,"2023-07-30 11:04:19"
"85","47","36","0","0","2023-07-30 11:11:06",,"2023-07-30 11:11:06"
