"id","invoice_id","product_id","product_name","remark","qty","price","dis","order_date","profit"
"7","7","14","DSR Satria Neo Billet Door Knob",,"1","90","0.00","2023-07-27","0"
"8","7","7"," DSR Carpet Matt - Satria NEO",,"1","228","0.00","2023-07-27","0"
"9","7","11"," DSR Pedal Kit with Foot rest ",,"1","183","0.00","2023-07-27","0"
"10","7","23","Eng. Mounting - Satria Neo (AT/MT)",,"1","532","0.00","2023-07-27","0"
"11","0","10"," DSR Battery Clamp ",,"1","107","0.00","2023-07-28","0"
"12","0","8"," DSR Delrin Gear Shift Knob ",,"1","122","0.00","2023-07-28","0"
"13","0","5"," DSR Carpet Matt - Putra / Satria ",,"1","228","0.00","2023-07-28","0"
"14","0","12"," DSR Pedal Kit w/o Foot Rest ",,"1","137","0.00","2023-07-28","0"
"15","0","25","Abs. Mounting (FR) - Wira/Satria/Putra",,"1","69","0.00","2023-07-28","0"
"16","0","24","Eng. Mounting - Wira/Satria/Putra (MT)",,"1","380","0.00","2023-07-28","0"
"25","8","10"," DSR Battery Clamp ",,"1","107","0.00","2023-07-28","0"
"26","8","8"," DSR Delrin Gear Shift Knob ",,"1","122","0.00","2023-07-28","0"
"27","8","5"," DSR Carpet Matt - Putra / Satria ",,"1","228","0.00","2023-07-28","0"
"28","8","12"," DSR Pedal Kit w/o Foot Rest ",,"1","137","0.00","2023-07-28","0"
"29","8","25","Abs. Mounting (FR) - Wira/Satria/Putra",,"2","69","0.00","2023-07-28","0"
"30","8","24","Eng. Mounting - Wira/Satria/Putra (MT)",,"1","380","0.00","2023-07-28","0"
"36","0","20","Proton Putra CF Kevlar",,"1","3952","0.00","2023-07-29","0"
"37","0","10"," DSR Battery Clamp ",,"1","107","0.00","2023-07-29","0"
"38","0","55"," DSR T-Shirt (Black) - Size L",,"1","48","0.00","2023-07-29","0"
"39","0","5"," DSR Carpet Matt - Putra / Satria ",,"1","228","0.00","2023-07-29","0"
"40","14","10"," DSR Battery Clamp ",,"1","107","0.00","2023-07-29","0"
"41","14","5"," DSR Carpet Matt - Putra / Satria ",,"1","228","0.00","2023-07-29","0"
"42","14","55"," DSR T-Shirt (Black) - Size L",,"1","48","0.00","2023-07-29","0"
"43","14","20","Proton Putra CF Kevlar",,"1","3952","0.00","2023-07-29","0"
"44","15","54"," DSR T-Shirt (Black) - Size M",,"1","48","0.00","2023-07-29","0"
"45","16","25","Abs. Mounting (FR) - Wira/Satria/Putra",,"2","69","0.00","2023-07-29","0"
"47","17","51"," DSR T-Shirt (Red) - Size L",,"1","48","0.00","2023-07-29","0"
"48","17","15","DSR Baseball Cap ",,"1","40","0.00","2023-07-29","0"
"49","18","19","DSR Umbrella",,"1","50","0.00","2023-07-29","0"
"50","18","54"," DSR T-Shirt (Black) - Size M",,"1","48","0.00","2023-07-29","0"
"51","19","7"," DSR Carpet Matt - Satria NEO",,"1","228","0.00","2023-07-29","0"
"52","20","8"," DSR Delrin Gear Shift Knob ",,"1","122","0.00","2023-07-29","0"
"53","21","10"," DSR Battery Clamp ",,"1","107","0.00","2023-07-29","0"
"54","21","11"," DSR Pedal Kit with Foot rest ",,"1","183","0.00","2023-07-29","0"
"55","22","15","DSR Baseball Cap ",,"1","40","0.00","2023-07-29","0"
"56","23","54"," DSR T-Shirt (Black) - Size M",,"1","48","0.00","2023-07-29","0"
"57","24","8"," DSR Delrin Gear Shift Knob ",,"1","122","0.00","2023-07-29","0"
"58","25","13","DSR Aluminium Bosskit Extender 60mm",,"2","348","0.00","2023-07-29","0"
"59","26","14","DSR Satria Neo Billet Door Knob",,"1","90","0.00","2023-07-29","0"
"62","27","54"," DSR T-Shirt (Black) - Size M",,"1","48","0.00","2023-07-29","0"
"63","27","55"," DSR T-Shirt (Black) - Size L",,"1","48","0.00","2023-07-29","0"
"64","27","15","DSR Baseball Cap ",,"1","40","0.00","2023-07-29","0"
"65","29","55"," DSR T-Shirt (Black) - Size L",,"1","48","0.00","2023-07-29","0"
"66","30","55"," DSR T-Shirt (Black) - Size L",,"1","48","0.00","2023-07-29","0"
"67","31","57"," DSR T-Shirt (Black) - Size 2XL",,"1","48","0.00","2023-07-29","0"
"68","32","57"," DSR T-Shirt (Black) - Size 2XL",,"1","48","0.00","2023-07-29","0"
"113","62","24","Eng. Mounting - Wira/Satria/Putra (MT)",,"1","380","0.00","2023-09-03","0"
"114","63","25","Abs. Mounting (FR) - Wira/Satria/Putra",,"2","69","0.00","2023-09-03","0"
"115","64","5"," DSR Carpet Matt - Putra / Satria ",,"1","228","0.00","2023-09-03","0"
"116","65","18"," DSR T-Shirt (Red) - Size S",,"1","48","0.00","2023-09-03","0"
"117","66","52"," DSR T-Shirt (Red) - Size XL",,"1","48","0.00","2023-09-03","0"
"118","67","5"," DSR Carpet Matt - Putra / Satria ",,"1","228","0.00","2023-09-03","0"
