pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
1,Insta360 One X3,INSTA360,1155,1469,2,"","",314,DCP-1,"",23,"0","0","0",8,"0","0","","","","0"
2,Insta360 X4,INSTA360,1700,2499,2,"","",799,DCP-2,"",97,"0","0","0",8,"0","0","","","","0"
3,Insta360 Ace Pro,INSTA360,1190,1599,4,"","",409,DCP-3,"",24,"0","0","0",8,"0","0","","","","0"
4,Insta360 Ace,INSTA360,800,999,1,"","",199,DCP-4,"",3,"0","0","0",8,"0","0","","","","0"
5,Insta360 Go 3S Arctic White (64GB),INSTA360,1600,1969,"0","","",369,DCP-5,"",6,"0","0","0",8,"0","0","","","","0"
6,Insta360 Go 3S Arctic White (128GB),INSTA360,1700,2099,3,"","",399,DCP-6,"",25,"0","0","0",8,"0","0","","","","0"
7,Insta360 Go 3S Midnight Black (64GB),INSTA360,1600,1969,"0","","",369,DCP-7,"",5,"0","0","0",8,"0","0","","","","0"
8,Insta360 Go 3S Midnight Black (128GB),INSTA360,1700,2099,6,"","",399,DCP-8,"",26,"0","0","0",8,"0","0","","","","0"
9,Insta360 Flow Pro,INSTA360,567,699,"0","","",132,DCP-9,"",5,"0","0","0",8,"0","0","","","","0"
10,Insta360 Bullet Time Bundle,INSTA360 ACCESSORIES,180,299,2,"","",119,DCP-10,"",19,"0","0","0",8,"0","0","","","","0"
11,Insta360 114cm Invisible Selfie Stick,INSTA360 ACCESSORIES,80,139,19,"","",59,DCP-11,"",44,"0","0","0",8,"0","0","","","","0"
12,Insta360 Mini 2-in-1 Tripod,INSTA360 ACCESSORIES,105,169,1,"","",64,DCP-12,"",8,"0","0","0",8,"0","0","","","","0"
13,Insta360 Power Selfie Stick*,INSTA360 ACCESSORIES,160,359,2,"","",199,DCP-13,"",8,"0","0","0",8,"0","0","","","","0"
14,Insta360 Floating Hand Grip (New Version)*,INSTA360 ACCESSORIES,31,59,2,"","",28,DCP-14,"",26,"0","0","0",8,"0","0","","","","0"
15,Insta360 Extended Edition Selfie Stick (New Version),INSTA360 ACCESSORIES,340,499,"0","","",159,DCP-15,"","0","0","0","0",8,"0","0","","","","0"
16,Insta360 GPS Action Remote*,INSTA360 ACCESSORIES,210,349,2,"","",139,DCP-16,"",2,"0","0","0",8,"0","0","","","","0"
17,Insta360 Bullet Time Cord*,INSTA360 ACCESSORIES,55,89,2,"","",34,DCP-17,"",1,"0","0","0",8,"0","0","","","","0"
18,Insta360 BIke Bundle (New Version),INSTA360 ACCESSORIES,190,279,3,"","",89,DCP-18,"",1,"0","0","0",8,"0","0","","","","0"
19,Insta360 Third-Person Bike Tail Mount,INSTA360 ACCESSORIES,165,239,"0","","",74,DCP-19,"","0","0","0","0",8,"0","0","","","","0"
20,Insta360 X Series Carry Case,INSTA360 ACCESSORIES,70,99,2,"","",29,DCP-20,"",3,"0","0","0",8,"0","0","","","","0"
21,Insta360 Go 3/3S Carry Case,INSTA360 ACCESSORIES,70,99,"0","","",29,DCP-21,"",16,"0","0","0",8,"0","0","","","","0"
22,Insta360 x3 Invisible Dive Case*,INSTA360 ACCESSORIES,310,499,2,"","",189,DCP-22,"",2,"0","0","0",8,"0","0","","","","0"
23,Insta360 x SmallRig X3 Utility Frame,INSTA360 ACCESSORIES,180,299,1,"","",119,DCP-23,"","0","0","0","0",8,"0","0","","","","0"
24,Insta360 x SmallRig One X2 Utility Frame,INSTA360 ACCESSORIES,130,299,1,"","",169,DCP-24,"","0","0","0","0",8,"0","0","","","","0"
25,Insta360 X3 Battery,INSTA360 ACCESSORIES,125,199,"0","","",74,DCP-25,"",3,"0","0","0",8,"0","0","","","","0"
26,Insta360 X3 Fast Charge Hub,INSTA360 ACCESSORIES,172,259,4,"","",87,DCP-26,"",3,"0","0","0",8,"0","0","","","","0"
27,Insta360 One X2 Battery,INSTA360 ACCESSORIES,120,189,1,"","",69,DCP-27,"","0","0","0","0",8,"0","0","","","","0"
28,Insta360 One X2 Fast Charge Hub,INSTA360 ACCESSORIES,165,219,1,"","",54,DCP-28,"","0","0","0","0",8,"0","0","","","","0"
29,Insta360 Bullet Time Tripod,INSTA360 ACCESSORIES,138,169,"0","","",31,DCP-29,"",2,"0","0","0",8,"0","0","","","","0"
30,Insta360 One RS Battery Base,INSTA360 ACCESSORIES,68,149,"0","","",81,DCP-30,"",2,"0","0","0",8,"0","0","","","","0"
31,Insta360 One RS Fast Charge Hub,INSTA360 ACCESSORIES,135,199,1,"","",64,DCP-31,"","0","0","0","0",8,"0","0","","","","0"
32,Insta360 X3 Sticky Lens Guard,INSTA360 ACCESSORIES,70,99,"0","","",29,DCP-32,"",6,"0","0","0",8,"0","0","","","","0"
33,Insta360 One X2 Lens Guard,INSTA360 ACCESSORIES,70,99,2,"","",29,DCP-33,"",4,"0","0","0",8,"0","0","","","","0"
34,Insta360 One RS Sticky Lens Guard,INSTA360 ACCESSORIES,66,89,1,"","",23,DCP-34,"",1,"0","0","0",8,"0","0","","","","0"
35,Insta360 Quick Reader (Horizontal Version) for One R/RS,INSTA360 ACCESSORIES,185,299,"0","","",114,DCP-35,"","0","0","0","0",8,"0","0","","","","0"
36,Insta360 X3 Quick Reader,INSTA360 ACCESSORIES,208,299,"0","","",91,DCP-36,"","0","0","0","0",8,"0","0","","","","0"
37,Insta360 X3 Mic Adapter,INSTA360 ACCESSORIES,50,99,2,"","",49,DCP-37,"","0","0","0","0",8,"0","0","","","","0"
38,Insta360 X3 Lens Cap,INSTA360 ACCESSORIES,24,39,"0","","",15,DCP-38,"",11,"0","0","0",8,"0","0","","","","0"
39,Insta360 One X2 Lens Cap,INSTA360 ACCESSORIES,18,29,2,"","",11,DCP-39,"","0","0","0","0",8,"0","0","","","","0"
40,Insta360 Flow Spotlight,INSTA360 ACCESSORIES,86,119,"0","","",33,DCP-40,"",2,"0","0","0",8,"0","0","","","","0"
41,Insta360 X3 Screen Protector,INSTA360 ACCESSORIES,52,89,4,"","",37,DCP-41,"",10,"0","0","0",8,"0","0","","","","0"
42,Insta360 Go 3/3S Screen Protector,INSTA360 ACCESSORIES,35,49,8,"","",14,DCP-42,"",27,"0","0","0",8,"0","0","","","","0"
43,Insta360 Go 3/3S Quick Release Mount,INSTA360 ACCESSORIES,104,179,4,"","",75,DCP-43,"",2,"0","0","0",8,"0","0","","","","0"
44,Insta360 Go 3 Lens Guard*,INSTA360 ACCESSORIES,"0",50,4,"","",50,DCP-44,"",1,"0","0","0",8,"0","0","","","","0"
45,Insta360 Go 3/3S Magnet Pendant,INSTA360 ACCESSORIES,50,79,2,"","",29,DCP-45,"","0","0","0","0",8,"0","0","","","","0"
46,Insta360 X3 Horizontal Action Mount,INSTA360 ACCESSORIES,84,139,1,"","",55,DCP-46,"","0","0","0","0",8,"0","0","","","","0"
47,Insta360 Monkey Tail Mount,INSTA360 ACCESSORIES,70,149,5,"","",79,DCP-47,"",1,"0","0","0",8,"0","0","","","","0"
48,Insta360 Vibration Damper,INSTA360 ACCESSORIES,208,299,2,"","",91,DCP-48,"","0","0","0","0",8,"0","0","","","","0"
49,SanDisk Extreme Memory Card (64GB),SANDISK,29,65,1,"","",36,DCP-49,"",54,"0","0","0",6,"0","0","","","","0"
50,SanDisk Extreme Memory Card (128GB),SANDISK,56,95,1,"","",39,DCP-50,"",87,"0","0","0",6,"0","0","","","","0"
51,SanDisk Extreme Memory Card (256GB),SANDISK,99,160,9,"","",61,DCP-51,"",22,"0","0","0",6,"0","0","","","","0"
52,Cancel ,INSTA360 ACCESSORIES,"0","0",-439,"","","0",DCP-52,"",487,"0","0","0",6,"0","0","","","","0"
53,SanDisk Extreme Memory Card (128GB)*,SANDISK,50,95,2,"","",45,DCP-53,"",19,"0","0","0",8,"0","0","","","","0"
54,Insta360 All-Purpose Tripod,INSTA360 ACCESSORIES,122,179,"0","","",57,DCP-54,"",7,"0","0","0",8,"0","0","","","","0"
55,Delivery Fee,DELIVERY,"0","0",998,"","","0",DCP-55,"",1,"0","0","0",8,"0","0","","","","0"
56,Cancel order,DELIVERY,"0","0",996,"","","0",DCP-56,"","0","0","0","0",8,"0","0","","","","0"
57,Insta360 Multi Mount,INSTA360 ACCESSORIES,160,229,4,"","",69,DCP-57,"","0","0","0","0",8,"0","0","","","","0"
58,Insta360 Flexible Adhesive Mount,INSTA360 ACCESSORIES,70,99,1,"","",29,DCP-58,"",4,"0","0","0",8,"0","0","","","","0"
59,Insta360 Go 3/3S Pivot Stand,INSTA360 ACCESSORIES,104,169,1,"","",65,DCP-59,"",1,"0","0","0",8,"0","0","","","","0"
