pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
1,Insta360 X3,INSTA360,1200,1469,2,"","",269,DCP-1,"",742,"0","0","0",9,"0","0","","","","0"
2,Insta360 One X2,INSTA360,1220,1599,"0","","",379,DCP-2,"",46,"0","0","0",9,"0","0","","","","0"
3,Insta360 Flow (Summit White),INSTA360,550,759,"0","","",209,DCP-3,"",21,"0","0","0",9,"0","0","","","","0"
4,Insta360 Flow (Stone Gray),INSTA360,550,759,"0","","",209,DCP-4,"",31,"0","0","0",9,"0","0","","","","0"
5,Insta360 Flow Creator Kit (Summit White),INSTA360,580,699,"0","","",119,DCP-5,"",16,"0","0","0",9,"0","0","","","","0"
6,"Insta360 Flow Creator Kit (Stone Gray)	",INSTA360,707,979,"0","","",272,DCP-6,"",20,"0","0","0",9,"0","0","","","","0"
7,Insta360 One RS 4K Edition,INSTA360,950,1199,"0","","",249,DCP-7,"",44,"0","0","0",9,"0","0","","","","0"
8,Insta360 One RS Twin Edition,INSTA360,1580,1999,"0","","",419,DCP-8,"",37,"0","0","0",9,"0","0","","","","0"
9,Insta360 One RS 1-inch Edition ,INSTA360,"0",2499,"0","","",2499,DCP-9,"","0","0","0","0",9,"0","0","","","","0"
10,Insta360 One RS 1-inch 360 Edition ,INSTA360,2600,3599,"0","","",999,DCP-10,"",5,"0","0","0",9,"0","0","","","","0"
11,Insta360 Sphere ,INSTA360,1567,1899,"0","","",332,DCP-11,"",5,"0","0","0",9,"0","0","","","","0"
12,Insta360 Link,INSTA360,1010,1499,"0","","",489,DCP-12,"",6,"0","0","0",9,"0","0","","","","0"
13,Insta360 Go 3 Arctic White (64GB),INSTA360,1350,1589,"0","","",239,DCP-13,"",59,"0","0","0",9,"0","0","","","","0"
14,Insta360 Go 3 Arctic White (128GB),INSTA360,1500,1799,"0","","",299,DCP-14,"",214,"0","0","0",9,"0","0","","","","0"
15,Insta360 Bullet Time Bundle,INSTA360 ACCESSORIES,180,299,"0","","",119,DCP-15,"",342,"0","0","0",9,"0","0","","","","0"
16,Insta360 114cm Invisible Selfie Stick,INSTA360 ACCESSORIES,80,139,54,"","",59,DCP-16,"",657,"0","0","0",9,"0","0","","","","0"
17,Insta360 Floating Hand Grip (New Version)*,INSTA360 ACCESSORIES,31,59,6,"","",28,DCP-17,"",269,"0","0","0",9,"0","0","","","","0"
18,Insta360 Mini 2-in-1 Tripod,INSTA360 ACCESSORIES,105,169,5,"","",64,DCP-18,"",78,"0","0","0",9,"0","0","","","","0"
19,Insta360 Power Selfie Stick ,INSTA360 ACCESSORIES,160,359,3,"","",199,DCP-19,"",64,"0","0","0",9,"0","0","","","","0"
20,Insta360 Extended Edition Selfie Stick (New Version),INSTA360 ACCESSORIES,"0",499,"0","","",499,DCP-20,"",59,"0","0","0",9,"0","0","","","","0"
21,"Insta360 Extended Edition Selfie Stick (Old Version)	",INSTA360 ACCESSORIES,200,299,"0","","",99,DCP-21,"",6,"0","0","0",9,"0","0","","","","0"
22,Insta360 GPS Action Remote*,INSTA360 ACCESSORIES,210,349,1,"","",139,DCP-22,"",26,"0","0","0",9,"0","0","","","","0"
23,Insta360 Bullet Time Cord ,INSTA360 ACCESSORIES,55,89,1,"","",34,DCP-23,"",23,"0","0","0",9,"0","0","","","","0"
24,Insta360 BIke Bundle (New Version),INSTA360 ACCESSORIES,190,279,"0","","",89,DCP-24,"",30,"0","0","0",9,"0","0","","","","0"
25,Insta360 Motorcycle Mount Bundle ,INSTA360 ACCESSORIES,150,199,"0","","",49,DCP-25,"",40,"0","0","0",9,"0","0","","","","0"
