"#","Product","Category","Purchase Price","Sale Price","Stock","Description","Image","View","Edit","Delete"
"314","DJI PHANTOM 4 REMOTE CONTROLLER MAINBOARD","DJI","180.00","210.00","0","","","","",""
"313","DJI AVATA BOTTOM SHELL","DJI","130.00","130.00","0","","","","",""
"312","DJI AVATA MIDDLE SHELL","DJI","180.00","180.00","0","","","","",""
"311","DJI MAVIC AIR 3S FRONT LEFT ARM","DJI","220.00","320.00","2","","","","",""
"310","REPLACE DJI MAVIC AIR 3 BATTERY CELLS ( 4 MONTHS WARRANTY )","DJI","300.00","380.00","0","","","","",""
"309","REPLACE DJI MAVIC AIR 3 BATTERY CELLS ( HIGH CAPACITY ) ( 4 MONTHS WARRANTY )","DJI","470.00","550.00","0","","","","",""
"308","DJI MAVIC PRO REAR LEFT ARM","DJI","75.00","210.00","1","","","","",""
"307","DJI MINI 4 PRO GIMBAL RIGHT SIDE COVER","DJI","15.00","40.00","0","","","","",""
"306","DJI MINI 4 PRO GIMBAL LEFT SIDE COVER","DJI","15.00","40.00","2","","","","",""
"305","DJI MINI 4 PRO CAMERA HEAT SHINK","DJI","80.00","110.00","0","","","","",""
"304","DJI MINI 4 PRO GPS BOARD","DJI","0.00","380.00","4","","","","",""
"303","DJI AIR 3 TOP SHELL","DJI","90.00","120.00","1","","","","",""
"302","DJI AIR 3 REAR HINGE","DJI","20.00","80.00","8","","","","",""
"301","DJI FLIP GIMBAL CAMERA SENSOR","DJI","300.00","600.00","1","","","","",""
"300","DJI FLIP GIMBAL ARM","DJI","300.00","580.00","1","","","","",""
"299","DJI FLIP GIMBAL PTZ CABLE","DJI","100.00","220.00","1","","","","",""
"298","DJI FLIP GIMBAL RIBBON","DJI","50.00","180.00","0","","","","",""
"297","DJI FLIP REAR RIGHT ARM","DJI","130.00","250.00","3","","","","",""
"296","DJI FLIP REAR LEFT ARM","DJI","130.00","250.00","3","","","","",""
"295","DJI FLIP FRONT RIGHT ARM","DJI","130.00","250.00","3","","","","",""
"294","DJI FLIP FRONT LEFT ARM","DJI","130.00","250.00","3","","","","",""
"293","DJI MINI 2 MIDDLE SHELL*","DJI","70.00","240.00","5","","","","",""
"292","DJI PAHNTOM 4 MIDDLE SHELL","DJI","130.00","280.00","0","","","","",""
"291","REPLACE DJI MAVIC AIR 2 BATTERY CELLS ( HIGH CAPACITY ) ( 4 MONTHS WARRANTY )","DJI","300.00","400.00","0","","","","",""
"290","DJI MINI 3 ESC BOARD*","DJI","180.00","280.00","4","","","","",""
"289","DJI MINI 3 PRO 7 IN 1 RIBBON CABLE*","DJI","130.00","350.00","9","","","","",""
"288","DJI MAVIC MINI REAR LEFT ARM","DJI","80.00","180.00","2","","","","",""
"287","DJI MAVIC AIR 3 SERIES GIMBAL ABSORBING BOARD","DJI","100.00","170.00","0","","","","",""
"286","DJI AVATA 2 FRONT MOTOR","DJI","85.00","220.00","2","","","","",""
"285","DJI AVATA 2 REAR MOTOR","DJI","85.00","220.00","1","","","","",""
"284","DJI MAVIC 3 PRO FRONT LEFT ARM","DJI","130.00","390.00","2","","","","",""
"283","DJI NEO DOWNWARD SENSOR CABLE","DJI","0.00","100.00","0","","","","",""
"282","DJI MINI 4 PRO 6 IN 1 RIBBON","DJI","60.00","240.00","0","","","","",""
"281","DJI MAVIC PRO IMU BOARD","DJI","50.00","180.00","2","","","","",""
"280","DJI MAVIC PRO COMPASS BAORD","DJI","80.00","150.00","3","","","","",""
"279","DJI MAVIC AIR 2 TOP SHELL","DJI","55.00","90.00","7","","","","",""
"278","DJI MINI 3/3 PRO ROLL MOTOR COVER","DJI","20.00","30.00","9","","","","",""
"277","DJI MINI 4 PRO 3-PIN GIMBAL SIDE RUBBER","DJI","15.00","90.00","9","","","","",""
"276","DJI MINI 4 PRO 4-PIN GIMBAL SIDE RUBBER","DJI","15.00","90.00","15","","","","",""
"275","DJI MINI 4 PRO YAW MOTOR","DJI","120.00","380.00","34","","","","",""
"274","LALAMOVE","DJI","19.70","19.70","0","","","","",""
"273","DJI MAVIC 3 SERIES REAR LEFT ARM","DJI","200.00","380.00","2","","","","",""
"272","DJI MAVIC 2 PRO / ZOOM IMU BOARD","DJI","80.00","180.00","35","","","","",""
"271","DJI MAVIC AIR 2 FRONT SENSOR MODULE","DJI","150.00","250.00","7","","","","",""
"270","DJI MAVIC 2 PRO / ZOOM FRONT SENSOR MODULE","DJI","100.00","250.00","1","","","","",""
"269","DJI MAVIC MINI ESC BOARD","DJI","100.00","270.00","13","","","","",""
"268","DJI MAVIC AIR 2/2S ESC BOARD","DJI","180.00","280.00","2","","","","",""
"267","DJI MAVIC AIR 2 GPS BOARD","DJI","80.00","350.00","3","","","","",""
"266","DJI MAVIC 2 PRO CAMERA SENSOR","DJI","60.00","650.00","1","","","","",""
"265","DJI MAVIC AIR 2S GPS CABLE","DJI","20.00","150.00","1","","","","",""
"264","DJI MAVIC MINI FRONT RIGHT ARM","DJI","85.00","190.00","5","","","","",""
"263","DJI MAVIC 3 SERIES FRONT RIGHT ARM","DJI","130.00","390.00","1","","","","",""
"262","DJI MAVIC 2 PRO / ZOOM LANDING GEAR","DJI","20.00","60.00","0","","","","",""
"261","DJI MAVIC 2 PRO/ZOOM FRONT HINGE","DJI","20.00","60.00","3","","","","",""
"260","DJI MAVIC 2 PRO/ZOOM REAR RIGHT ARM","DJI","210.00","290.00","0","","","","",""
"259","DJI PHANTOM 4 PRO COMPASS 2 CONNECTOR","DJI","0.00","180.00","0","","","","",""
"258","DJI PHANTOM 4 PRO ESC BOARD MODULE LEFT","DJI","200.00","550.00","0","","","","",""
"257","DJI MAVIC AIR 2S NEW GIMBAL ARM SET","DJI","1,700.00","1,800.00","0","","","","",""
