pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
10,DJI MINI 2,DJI,1680,1899,"0","","",219,SP-10,"",11,"0","0","0",3,"0","0","","","","0"
11,CETUS PRO,BETAFPV,"0",999,"0","","",999,DC-11,"",1,"0","0","0",4,"0","0","","","","0"
12,DJI FPV,DJI,4600,5199,"0","","",599,DC-12,"",1,"0","0","0",5,"0","0","","","","0"
13,DJI FPV FLY MORE KIT,DJI,1000,1199,"0","","",199,DC-13,"",2,"0","0","0",5,"0","0","","","","0"
14,FIMI X8 MINI(BASIC),FIMI,1230,1399,"0","","",169,DC-14,"","0","0","0","0",5,"0","0","","","","0"
15,FIMI X8 MINI(2 BATTERY),FIMI,1420,1619,"0","","",199,DC-15,"",1,"0","0","0",5,"0","0","","","","0"
16,DJI AIR 2S(BASIC),DJI,1900,3300,"0","","",1400,DC-16,"",1,"0","0","0",3,"0","0","","","","0"
17,DJI AIR 2S(FLYMORECOMBO),DJI,5100,5799,"0","","",699,DCP-17,"",11,"0","0","0",3,"0","0","","","","0"
18,DJI MINI 3 PRO (DJI RC),DJI,3695,4199,"0","","",504,DCP-18,"",51,"0","0","0",3,"0","0","","","","0"
19,DJI MINI 3 PRO FLY MORE KIT PLUS,DJI,935,1169,"0","","",234,DCP-19,"",43,"0","0","0",3,"0","0","","","","0"
20,INSTA360 ONE X2,INSTA360,1220,1599,"0","","",379,DCP-20,"",129,"0","0","0",5,"0","0","","","","0"
21,INSTA360 SPHERE,INSTA360,1650,1799,"0","","",149,DC-21,"",3,"0","0","0",5,"0","0","","","","0"
22,INSTA360 GO 2(32GB),INSTA360,1050,1299,"0","","",249,DC-22,"",2,"0","0","0",5,"0","0","","","","0"
23,INSTA360 ONE RS 1-INCH 360° EDITION,INSTA360,2655,3599,"0","","",944,DCP-23,"",8,"0","0","0",5,"0","0","","","","0"
24,INSTA360 ONE RS TWIN EDITION,INSTA360,1580,1999,"0","","",419,DCP-24,"",147,"0","0","0",5,"0","0","","","","0"
25,INSTA360 ONE RS 4K EDITION,INSTA360,800,1199,"0","","",399,DCP-25,"",128,"0","0","0",5,"0","0","","","","0"
26,GO PRO HERO 10,GO PRO,1900,1899,"0","","",-1,DC-26,"",3,"0","0","0",5,"0","0","","","","0"
27,FIMI PALM 2 PRO,FIMI,850,1099,"0","","",249,DC-27,"",3,"0","0","0",5,"0","0","","","","0"
28,SANDISK EXTREME 64GB,SANDISK,29,65,"0","","",36,DCP-28,"",1259,"0","0","0",6,"0","0","","","","0"
29,LEXAR MEMORY CARD(64GB),LEXAR,26,35,"0","","",9,DCP-29,"",143,"0","0","0",7,"0","0","","","","0"
30,LEXAR MEMORY CARD(128GB),LEXAR,41,65,"0","","",24,DCP-30,"",240,"0","0","0",7,"0","0","","","","0"
31,DJI MINI 2 INTELLIGENT FLIGHT BATTERY,DJI,165,209,"0","","",44,DCP-31,"",20,"0","0","0",3,"0","0","","","","0"
32,DJI MAVIC AIr 2/2S CHARGER ( USED ),DJI,"0",100,"0","","",100,DCP-32,"",4,"0","0","0",5,"0","0","","","","0"
33,ANTCOOL,ANTCOOL,250,380,"0","","",130,DCP-33,"",1,"0","0","0",8,"0","0","","","","0"
34,DJI MINI 2 TWO-WAY CHARGING HUB ,DJI,125,169,"0","","",44,DCP-34,"",14,"0","0","0",3,"0","0","","","","0"
35,MAVIC MINI PROPELLER HOLDER ( OEM ),ACCESSORIES,"0",30,5,"","",30,DC-35,"",1,"0","0","0",8,"0","0","","","","0"
36,BRDRC NECK STRAP & BRACKET,BRDRC,15,30,"0","","",15,DC-36,"",1,"0","0","0",8,"0","0","","","","0"
37,DJI RC-N1 REMOTE,DJI,200,399,"0","","",199,DCP-37,"","0","0","0","0",5,"0","0","","","","0"
38,DJI MAVIC MINI TEMPERED GLASS,ACCESSORIES,2,10,"0","","",8,DCP-38,"","0","0","0","0",8,"0","0","","","","0"
39,DJI FPV GOGGLE V2 TEMPERED GLASS,ACCESSORIES,2,20,2,"","",18,DCP-39,"",1,"0","0","0",8,"0","0","","","","0"
40,DJI MAVIC AIR 2 ND16,ACCESSORIES,5,30,"0","","",25,DCP-40,"","0","0","0","0",8,"0","0","","","","0"
41,DJI MAVIC AIR 2S ND8,ACCESSORIES,5,30,5,"","",25,DCP-41,"","0","0","0","0",8,"0","0","","","","0"
42,DJI MAVIC AIR 2S ND16,ACCESSORIES,5,30,3,"","",25,DCP-42,"","0","0","0","0",8,"0","0","","","","0"
43,DJI MAVIC AIR 2 ND FILTERS SET(ND4/8/32),ACCESSORIES,"0",80,17,"","",80,DCP-43,"",10,"0","0","0",8,"0","0","","","","0"
44,FIMI X8 MINI PROPELLERS,FIMI,"0",45,12,"","",45,DCP-44,"",7,"0","0","0",5,"0","0","","","","0"
45,DJI RC / RC 2 TEMPERED GLASS,ACCESSORIES,5,14.99,10,"","",9.99,DCP-45,"",53,"0","0","0",8,"0","0","","","","0"
46,PHONE HOOD,ACCESSORIES,10,20,"0","","",10,DC-46,"","0","0","0","0",8,"0","0","","","","0"
47,GOPRO LANYARD,ACCESSORIES,"0",20,21,"","",20,DCP-47,"",9,"0","0","0",8,"0","0","","","","0"
48,-,ACCESSORIES,5,25,"0","","",20,DCP-48,"",19,"0","0","0",8,"0","0","","","","0"
49,TYPE C MIC,ACCESSORIES,5,10,1,"","",5,DC-49,"",3,"0","0","0",8,"0","0","","","","0"
50,TRIPOD (OEM),ACCESSORIES,5,10,223,"","",5,DCP-50,"",549,"0","0","0",8,"0","0","","","","0"
51,FLOATING HAND GRIP,ACCESSORIES,2,10,66,"","",8,DCP-51,"",574,"0","0","0",8,"0","0","","","","0"
52, BUNDLE(ONEX2) CANCEL ,ACCESSORIES,"0","0",-8293,"","","0",DCP-52,"",9619,"0","0","0",5,"0","0","","","","0"
53,DJI MINI 2 OEM SIGNATURE BAG,ACCESSORIES,50,89,"0","","",39,DCP-53,"",4,"0","0","0",5,"0","0","","","","0"
54,SUPER COMBO 2(ONE X2),ACCESSORIES,100,199,"0","","",99,DCP-54,"",3,"0","0","0",5,"0","0","","","","0"
55,INSTA360 ONE R BATTERY BASE,INSTA360,50,99,"0","","",49,DCP-55,"",3,"0","0","0",5,"0","0","","","","0"
56,INSTA360 ONE RS BATTERY BASE,INSTA360,110,149,"0","","",39,DCP-56,"",183,"0","0","0",5,"0","0","","","","0"
57,ORIGINAL INSTA360 ONE RS STICKY LENS GUARD ,INSTA360,66,89,"0","","",23,DCP-57,"",45,"0","0","0",5,"0","0","","","","0"
58,INSTA360 ONE RS STICKY LENS GUARD(OEM),ACCESSORIES,25,50,"0","","",25,DCP-58,"",84,"0","0","0",8,"0","0","","","","0"
59,INSTA360 MOTORCYCLE BUNDLE ( OLD VERSION ),INSTA360,160,199,"0","","",39,DCP-59,"",101,"0","0","0",5,"0","0","","","","0"
60,INSTA360 BIKE BUNDLE,INSTA360,160,199,"0","","",39,DCP-60,"",16,"0","0","0",5,"0","0","","","","0"
61,ONE X2 SILICON COVER,ACCESSORIES,5,10,"0","","",5,DC-61,"",84,"0","0","0",8,"0","0","","","","0"
62,INSTA360 ONE X2/X3 LENS CAP ( OEM ),INSTA360,8,25,56,"","",17,DCP-62,"",1926,"0","0","0",5,"0","0","","","","0"
63,cancel,INSTA360,"0","0","0","","","0",DCP-63,"",38,"0","0","0",5,"0","0","","","","0"
64,INSTA360 ONE X2 BATTERY,INSTA360,125,179,"0","","",54,DCP-64,"",41,"0","0","0",5,"0","0","","","","0"
