id,invoice_id,product_id,product_name,remark,qty,price,order_date,profit
1,1,68,DJI RC CONTROLLER GPS MODULE,"",1,330,2024-09-04,"0"
2,1,70,POSTAGE WITH INSURANCE,"",1,30,2024-09-04,"0"
3,2,71,DJI MAVIC AIR 2/2S MIDDLE SHELL,"",1,270,2024-09-04,"0"
4,3,72,DJI MINI 4 PRO FRONT RIGHT ARM,"",1,260,2024-09-04,"0"
5,3,73,DJI MINI 4 PRO FRONT HINGE,"",1,90,2024-09-04,"0"
6,4,10,DJI MAVIC MINI/MINI 2 SERIES TOP SHELL,"",1,90,2024-09-04,"0"
7,4,11,DJI MAVIC MINI/MINI 2 SERIES BACK BATTERY COVER,"",1,20,2024-09-04,"0"
8,4,74,DJI MINI 2/2 SE PROPELLER SET,"",1,50,2024-09-04,"0"
9,5,75,DJI MAVIC AIR 2S REAR RIGHT ARM,"",1,220,2024-09-04,"0"
11,6,73,DJI MINI 4 PRO FRONT HINGE,"",1,90,2024-09-04,"0"
12,7,28,DJI MINI 3 REAR RIGTH ARM,"",1,230,2024-09-04,"0"
13,8,76,DJI MAVIC PRO PLATINUM PTZ CABLE,"",1,190,2024-09-05,"0"
14,8,70,POSTAGE WITH INSURANCE,"",1,30,2024-09-05,"0"
15,9,78,DJI PHANTOM 4 PRO MIDDLE SHELL AND LANDING GEAR SET ( USED ),"",1,300,2024-09-05,"0"
16,9,77,DJI PHANTOM 4 PRO CAMERA SENSOR,"",1,350,2024-09-05,"0"
17,10,4,DJI MINI 2/2 SE/SE GIMBAL RIBBON,"",1,180,2024-09-05,"0"
18,11,5,DJI MINI 2 SE FRONT LEFT ARM,"",1,190,2024-09-05,"0"
19,12,79,"WATER DAMAGE CLEANING, CHECKING AND TEST","",1,300,2024-09-05,"0"
20,13,81,INSTA360 X2 LENS GUARD ( OEM ),"",1,50,2024-09-06,"0"
21,13,80,REPLACE INSTA360 X2 BOTH SIDE LENS,"",1,400,2024-09-06,"0"
22,13,70,POSTAGE WITH INSURANCE,"",1,30,2024-09-06,"0"
23,14,82,REPAIR LENS BRACKET,"",1,80,2024-09-06,"0"
24,15,9,DJI MINI 2 MIDDLE SHELL,"",1,250,2024-09-06,"0"
25,15,16,DJI MAVIC MINI/MINI 2 SERIES FRONT HINGE,"",1,50,2024-09-06,"0"
26,15,83,DJI MINI 2 FRONT LEFT ARM ( USED ),"",1,80,2024-09-06,"0"
27,16,9,DJI MINI 2 MIDDLE SHELL,"",1,230,2024-09-07,"0"
28,16,84,REPAIR GIMBAL ARM BRACKET,"",1,70,2024-09-07,"0"
29,17,52,DJI MINI 3/3 PRO 3-PIN GIMBAL SIDE RUBBER,"",1,30,2024-09-07,"0"
32,18,85,INSTA360 X3 ONE SIDE LENS ,"",1,280,2024-09-07,"0"
33,18,86,POSTAGE WITH INSURANCE TO EM,"",1,50,2024-09-07,"0"
34,19,90,DJI TYPE-C TO TYPE-C CONTROLLER CABLE,"",1,50,2024-09-07,"0"
35,20,79,"WATER DAMAGE CLEANING, CHECKING AND TEST","",1,100,2024-09-07,"0"
37,21,91,DJI MAVIC AIR 2S CAMERA CASING FRAME,"",1,100,2024-09-09,"0"
38,22,92,DJI MINI 4 PRO REAR RIGHT ARM,"",1,240,2024-09-09,"0"
39,23,93,DJI MAVIC PRO FIX ESC ERROR,"",1,80,2024-09-09,"0"
40,24,4,DJI MINI 2/2 SE/SE GIMBAL RIBBON,JN : 11548,1,120,2024-09-09,"0"
41,24,70,POSTAGE WITH INSURANCE,"",1,30,2024-09-09,"0"
42,25,27,DJI MINI 3 REAR LEFT ARM,"",1,190,2024-09-09,"0"
43,25,30,DJI MINI 3 TOP SHELL,"",1,80,2024-09-09,"0"
44,25,41,DJI MINI 3/3 PRO PTZ CABLE ,"",1,130,2024-09-09,"0"
45,25,47,DJI MINI 3/3 PRO GIMBAL ROLL ARM,"",1,160,2024-09-09,"0"
46,25,54,DJI MINI 3/3 PRO PITCH MOTOR,"",1,280,2024-09-09,"0"
47,25,42,DJI MINI 3 PRO 7 IN 1 RIBBON CABLE,"",1,190,2024-09-09,"0"
48,26,9,DJI MINI 2 MIDDLE SHELL,"",1,220,2024-09-10,"0"
