pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
1,DJI MINI 2 FRONT LEFT ARM ,DJI,85,190,8,WARRANTY 1 MONTH,"",105,DCP-1,"",4,"0","0","0",8,"0","0","","","","0"
2,DJI MINI 2/2 SE/SE/4K FRONT RIGHT ARM ,DJI,85,190,4,WARRANTY 1 MONTH,"",105,DCP-2,"",16,"0","0","0",3,"0","0","","","","0"
3,DJI MAVIC MINI/MINI 2 SERIES GIMBAL ARM,DJI,400,580,3,WARRANTY 1 MONTH,"",180,DCP-3,"",17,"0","0","0",10,"0","0","","","","0"
4,DJI MINI 2/2 SE/SE/4K GIMBAL RIBBON,DJI,60,180,10,WARRANTY 1 MONTH,"",120,DCP-4,"",40,"0","0","0",10,"0","0","","","","0"
5,DJI MINI 2 SE FRONT LEFT ARM,DJI,85,190,2,WARRANTY 1 MONTH,"",105,DCP-5,"",2,"0","0","0",10,"0","0","","","","0"
6,DJI MINI 2/2 SE/SE/4K REAR LEFT ARM,DJI,80,180,6,WARRANTY 1 MONTH,"",100,DCP-6,"",12,"0","0","0",10,"0","0","","","","0"
7,DJI MINI 2/2 SE/SE REAR RIGHT ARM,DJI,80,180,3,WARRANTY 1 MONTH,"",100,DCP-7,"",9,"0","0","0",10,"0","0","","","","0"
8,DJI MAVIC MINI/MINI 2 SERIES BOTTOM COVER,DJI,30,80,22,"","",50,DCP-8,"",2,"0","0","0",10,"0","0","","","","0"
9,DJI MINI 2 MIDDLE SHELL,DJI,"0",240,"0","","",240,DCP-9,"",31,"0","0","0",10,"0","0","","","","0"
10,DJI MAVIC MINI/MINI 2 SERIES TOP SHELL,DJI,35,90,9,"","",55,DCP-10,"",12,"0","0","0",10,"0","0","","","","0"
11,DJI MAVIC MINI/MINI 2 SERIES BACK BATTERY COVER,DJI,12,25,2,"","",13,DCP-11,"",7,"0","0","0",10,"0","0","","","","0"
12,DJI MINI 2/2 SE/SE SERIES HEATSINK,DJI,"0",20,7,"","",20,DCP-12,"","0","0","0","0",10,"0","0","","","","0"
13,DJI MAVIC MINI/MINI 2 SERIES POWER CABLE,DJI,20,70,17,WARRANTY 1 MONTH,"",50,DCP-13,"",2,"0","0","0",10,"0","0","","","","0"
14,DJI MINI 2/2 SE/SE ESC BOARD,DJI,100,270,2,WARRANTY 1 MONTH,"",170,DCP-14,"",4,"0","0","0",10,"0","0","","","","0"
15,DJI MAVIC MINI/MINI 2 SERIES COMPASS BOARD,DJI,180,320,12,WARRANTY 1 MONTH,"",140,DCP-15,"",4,"0","0","0",8,"0","0","","","","0"
16,DJI MAVIC MINI/MINI 2 SERIES FRONT HINGE,DJI,10,30,17,"","",20,DCP-16,"",2,"0","0","0",8,"0","0","","","","0"
17,DJI MAVIC MINI/MINI 2 SERIES REAR HINGE,DJI,10,40,16,"","",30,DCP-17,"",2,"0","0","0",10,"0","0","","","","0"
18,DJI MAVIC MINI/MINI 2 SERIES PTZ CABLE*,DJI,40,220,5,WARRANTY 1 MONTH,"",180,DCP-18,"",4,"0","0","0",8,"0","0","","","","0"
19,DJI MAVIC MINI/MINI 2 SERIES PTZ CABLE,DJI,40,220,12,"WARRANTY 1 MONTH
","",180,DCP-19,"",2,"0","0","0",10,"0","0","","","","0"
20,DJI MINI 2 / 4K GIMBAL CAMERA GLASS,DJI,"0",30,15,"","",30,DCP-20,"",4,"0","0","0",10,"0","0","","","","0"
21,DJI MINI 3 PRO FRONT LEFT ARM,DJI,130,240,8,WARRANTY 1 MONTH,"",110,DCP-21,"",4,"0","0","0",10,"0","0","","","","0"
22,DJI MINI 3 PRO FRONT RIGHT ARM,DJI,130,240,8,WARRANTY 1 MONTH,"",110,DCP-22,"",4,"0","0","0",10,"0","0","","","","0"
23,DJI MINI 3 PRO REAR LEFT ARM,DJI,110,230,9,"","",120,DCP-23,"",2,"0","0","0",10,"0","0","","","","0"
24,DJI MINI 3 PRO REAR RIGHT ARM,DJI,110,230,8,WARRANTY 1 MONTH,"",120,DCP-24,"",6,"0","0","0",10,"0","0","","","","0"
25,DJI MINI 3 FRONT LEFT ARM,DJI,120,240,5,WARRANTY 1 MONTH,"",120,DCP-25,"",9,"0","0","0",10,"0","0","","","","0"
26,DJI MINI 3 FRONT RIGHT ARM,DJI,120,240,1,WARRANTY 1 MONTH,"",120,DCP-26,"",15,"0","0","0",10,"0","0","","","","0"
27,DJI MINI 3 REAR LEFT ARM,DJI,90,230,7,WARRANTY 1 MONTH,"",140,DCP-27,"",11,"0","0","0",10,"0","0","","","","0"
