pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
10,DJI MINI 2,DJI,1680,1899,"0","","",219,SP-10,"",11,"0","0","0",3,"0","0","","","","0"
11,CETUS PRO,BETAFPV,770,999,"0","","",229,DC-11,"",1,"0","0","0",4,"0","0","","","","0"
12,DJI FPV,DJI,4600,5199,"0","","",599,DC-12,"",1,"0","0","0",5,"0","0","","","","0"
13,DJI FPV FLY MORE KIT,DJI,1000,1199,"0","","",199,DC-13,"",2,"0","0","0",5,"0","0","","","","0"
14,FIMI X8 MINI(BASIC),FIMI,1230,1399,"0","","",169,DC-14,"","0","0","0","0",5,"0","0","","","","0"
15,FIMI X8 MINI(2 BATTERY),FIMI,1420,1619,"0","","",199,DC-15,"",1,"0","0","0",5,"0","0","","","","0"
16,DJI AIR 2S(BASIC),DJI,3960,4499,"0","","",539,DC-16,"",1,"0","0","0",3,"0","0","","","","0"
17,DJI AIR 2S(FLYMORECOMBO),DJI,5100,5799,"0","","",699,DC-17,"",11,"0","0","0",3,"0","0","","","","0"
18,DJI MINI 3 PRO (DJI RC),DJI,3695,4199,"0","","",504,DC-18,"",56,"0","0","0",3,"0","0","","","","0"
19,DJI MINI 3 PRO FLY MORE KIT PLUS,DJI,935,1169,"0","","",234,DC-19,"",45,"0","0","0",3,"0","0","","","","0"
20,INSTA360 ONE X2,INSTA360,1220,1599,"0","","",379,DC-20,"",19,"0","0","0",5,"0","0","","","","0"
21,INSTA360 SPHERE,INSTA360,1567,1899,"0","","",332,DC-21,"",3,"0","0","0",5,"0","0","","","","0"
22,INSTA360 GO 2(64GB),INSTA360,1250,1549,"0","","",299,DC-22,"",1,"0","0","0",5,"0","0","","","","0"
23,INSTA360 ONE RS 1-INCH 360 EDITION,INSTA360,3100,3599,"0","","",499,DC-23,"",9,"0","0","0",5,"0","0","","","","0"
24,INSTA360 ONE RS TWIN EDITION,INSTA360,1580,1999,"0","","",419,DC-24,"",25,"0","0","0",5,"0","0","","","","0"
25,INSTA360 ONE RS 4K EDITION,INSTA360,950,1199,"0","","",249,DC-25,"",10,"0","0","0",5,"0","0","","","","0"
26,GO PRO HERO 10,GO PRO,1900,1899,"0","","",-1,DC-26,"",1,"0","0","0",5,"0","0","","","","0"
27,FIMI PALM 2 PRO,FIMI,850,1099,"0","","",249,DC-27,"",1,"0","0","0",5,"0","0","","","","0"
28,SANDISK EXTREME 64GB,SANDISK,32,65,"0","","",33,DC-28,"",109,"0","0","0",6,"0","0","","","","0"
29,LEXAR MEMORY CARD(64GB),LEXAR,26,35,"0","","",9,DC-29,"",16,"0","0","0",7,"0","0","","","","0"
30,LEXAR MEMORY CARD(128GB),LEXAR,41,65,"0","","",24,DC-30,"",42,"0","0","0",7,"0","0","","","","0"
31,DJI MINI 2 INTELLIGENT FLIGHT BATTERY,DJI,165,209,"0","","",44,DC-31,"",35,"0","0","0",3,"0","0","","","","0"
32,DJI MAVIC AIR 2 INTELLIGENT FLIGHT BATTERY,DJI,380,539,"0","","",159,DC-32,"",7,"0","0","0",5,"0","0","","","","0"
33,ANTCOOL,ANTCOOL,250,380,"0","","",130,DC-33,"","0","0","0","0",8,"0","0","","","","0"
34,DJI MINI 2 TWO-WAY CHARGING HUB,DJI,125,169,"0","","",44,DC-34,"",7,"0","0","0",3,"0","0","","","","0"
35,DJI MAVIC MINI PROPELLER HOLDER ( OEM ),ACCESSORIES,"0",30,"0","","",30,DC-35,"",1,"0","0","0",8,"0","0","","","","0"
36,BRDRC NECK STRAP & BRACKET,BRDRC,"0",8,1,"","",8,DC-36,"",1,"0","0","0",8,"0","0","","","","0"
37,DJI REMOTE,DJI,200,399,"0","","",199,DC-37,"",2,"0","0","0",5,"0","0","","","","0"
38,DJI MAVIC MINI TEMPERED GLASS,ACCESSORIES,2,10,3,"","",8,DC-38,"","0","0","0","0",8,"0","0","","","","0"
39,DJI FPV GOGGLE V2 TEMPERED GLASS,ACCESSORIES,2,20,"0","","",18,DC-39,"","0","0","0","0",8,"0","0","","","","0"
40,-,ACCESSORIES,"0","0","0","","","0",DC-40,"","0","0","0","0",8,"0","0","","","","0"
41,DJI MAVIC AIR 2S ND8,ACCESSORIES,5,30,"0","","",25,DC-41,"","0","0","0","0",8,"0","0","","","","0"
42,DJI MAVIC AIR 2S ND16,ACCESSORIES,5,30,"0","","",25,DC-42,"","0","0","0","0",8,"0","0","","","","0"
43,DJI MAVIC AIR 2 ND FILTERS SET(ND4/8/32),DJI,"0",249,"0","","",249,DC-43,"",1,"0","0","0",8,"0","0","","","","0"
44,FIMI X8 MINI PROPELLERS,FIMI,10,45,"0","","",35,DC-44,"","0","0","0","0",5,"0","0","","","","0"
45,DJI RC / RC 2 TEMPERED GLASS,ACCESSORIES,5,14.99,5,"","",9.99,DC-45,"",11,"0","0","0",8,"0","0","","","","0"
46,PHONE HOOD,ACCESSORIES,"0",5,26,"","",5,DC-46,"","0","0","0","0",8,"0","0","","","","0"
47,GOPRO LANYARD,ACCESSORIES,5,20,"0","","",15,DC-47,"","0","0","0","0",8,"0","0","","","","0"
48,WRIST HAND STRAP,ACCESSORIES,5,15,7,"","",10,DC-48,"",48,"0","0","0",8,"0","0","","","","0"
49,-,ACCESSORIES,"0","0","0","","","0",DC-49,"",1,"0","0","0",8,"0","0","","","","0"
50,MINI TRIPOD ,ACCESSORIES,5,20,7,"","",15,DC-50,"",49,"0","0","0",8,"0","0","","","","0"
51,FLOATING HAND GRIP,ACCESSORIES,2,10,9,"","",8,DC-51,"",49,"0","0","0",8,"0","0","","","","0"
52,-,ACCESSORIES,"0","0",-372,"","","0",DC-52,"",894,"0","0","0",5,"0","0","","","","0"
53,DJI MINI 2 OEM SIGNATURE BAG,ACCESSORIES,"0",39,2,"","",39,DC-53,"",1,"0","0","0",5,"0","0","","","","0"
54,SUPER COMBO 2(ONE X2),ACCESSORIES,100,199,"0","","",99,DC-54,"","0","0","0","0",5,"0","0","","","","0"
55,INSTA360 ONE R BATTERY BASE,INSTA360,50,99,"0","","",49,DC-55,"",3,"0","0","0",5,"0","0","","","","0"
56,INSTA360 ONE RS BATTERY BASE,INSTA360,100,149,"0","","",49,DC-56,"",35,"0","0","0",5,"0","0","","","","0"
57,INSTA360 ONE RS STICKY LENS GUARD,INSTA360,65,89,"0","","",24,DC-57,"",10,"0","0","0",5,"0","0","","","","0"
58,ONE RS STICKY LENS GUARD ( OEM ),ACCESSORIES,25,50,"0","","",25,DC-58,"",14,"0","0","0",8,"0","0","","","","0"
59,INSTA360 MOTORCYCLE BUNDLE,INSTA360,140,199,"0","","",59,DC-59,"",32,"0","0","0",5,"0","0","","","","0"
60,INSTA360 BIKE BUNDLE,INSTA360,100,199,"0","","",99,DC-60,"",3,"0","0","0",5,"0","0","","","","0"
61,ONE X2 SILICONE COVER,ACCESSORIES,5,10,"0","","",5,DC-61,"",5,"0","0","0",8,"0","0","","","","0"
62,ONE X2/X3 LENS CAP,ACCESSORIES,10,39,3,"","",29,DC-62,"",206,"0","0","0",5,"0","0","","","","0"
63,INSTA360 ONE X2 LENS GUARD,INSTA360,65,89,"0","","",24,DC-63,"",9,"0","0","0",5,"0","0","","","","0"
64,INSTA360 ONE X2 BATTERY,INSTA360,120,179,"0","","",59,DC-64,"",5,"0","0","0",5,"0","0","","","","0"
65,INSTA360 ONE X2 FAST CHARGE HUB,INSTA360,155,199,"0","","",44,DC-65,"",1,"0","0","0",5,"0","0","","","","0"
66,INSTA360 BULLET TIME CORD*,INSTA360,55,89,1,"","",34,DC-66,"",29,"0","0","0",5,"0","0","","","","0"
67,INSTA360 ONE RS FAST CHARGE HUB,INSTA360,138,179,"0","","",41,DC-67,"",15,"0","0","0",5,"0","0","","","","0"
68,ONE RS FAST CHARGE HUB ( OEM ),ACCESSORIES,50,99,"0","","",49,DC-68,"",3,"0","0","0",8,"0","0","","","","0"
69,ONE RS 4K EDITION DIVE CASE ( OEM ),ACCESSORIES,50,129,"0","","",79,DC-69,"",7,"0","0","0",8,"0","0","","","","0"
70,ONE X2 DIVE CASE ( OEM ),ACCESSORIES,110,169,"0","","",59,DC-70,"",8,"0","0","0",8,"0","0","","","","0"
71,-,ACCESSORIES,"0","0","0","","","0",DC-71,"",50,"0","0","0",8,"0","0","","","","0"
72,ONE X2/X3 MINI CASE ( OEM ),ACCESSORIES,4,15,8,"","",11,DC-72,"",218,"0","0","0",8,"0","0","","","","0"
73,-,ACCESSORIES,"0","0","0","","","0",DC-73,"","0","0","0","0",8,"0","0","","","","0"
74,GO PRO ORIGINAL BATTERY,GO PRO,"0",49,2,"","",49,DC-74,"","0","0","0","0",5,"0","0","","","","0"
75,GO PRO MOUTING(OEM),ACCESSORIES,5,20,"0","","",15,DC-75,"","0","0","0","0",8,"0","0","","","","0"
76,GO PRO HERO 10 SILICONE COVER,ACCESSORIES,"0",5,2,"","",5,DC-76,"","0","0","0","0",8,"0","0","","","","0"
77,TELESIN BATTERY CHARGER KIT(GO PRO HERO 10/9),TELESIN,80,129,"0","","",49,DC-77,"",2,"0","0","0",8,"0","0","","","","0"
78,BIKE/MOTORCYCLE MOUNT(SMALL),ACCESSORIES,2,10,"0","","",8,DC-78,"",7,"0","0","0",8,"0","0","","","","0"
79,INSTA360 BULLET TIME BUNDLE,INSTA360,180,299,"0","","",119,DC-79,"",189,"0","0","0",5,"0","0","","","","0"
80,3M STICK,ACCESSORIES,85,139,"0","","",54,DC-80,"",14,"0","0","0",5,"0","0","","","","0"
81,INSTA360 STICK(70CM),INSTA360,35,89,"0","","",54,DC-81,"",11,"0","0","0",5,"0","0","","","","0"
82,INSTA360 STICK(120CM),INSTA360,35,59,"0","","",24,DC-82,"",76,"0","0","0",5,"0","0","","","","0"
83,INSTA360 POWER SELFIE STICK*,INSTA360,160,359,1,"","",199,DC-83,"",21,"0","0","0",5,"0","0","","","","0"
84,SELFIE STICK(OEM),ACCESSORIES,"0",3,45,"","",3,DC-84,"",2,"0","0","0",8,"0","0","","","","0"
85,-,ACCESSORIES,"0","0","0","","","0",DC-85,"",3,"0","0","0",8,"0","0","","","","0"
86,STORAGE CASE(S),ACCESSORIES,15,35,"0","","",20,DC-86,"",11,"0","0","0",8,"0","0","","","","0"
87,STORAGE CASE ONE RS ,ACCESSORIES,25,60,"0","","",35,DC-87,"",15,"0","0","0",8,"0","0","","","","0"
88,STORAGE CASE X2/X3,ACCESSORIES,25,65,"0","","",40,DC-88,"",97,"0","0","0",8,"0","0","","","","0"
89,ONE X2 COMBO,ACCESSORIES,199,299,"0","","",100,DC-89,"",2,"0","0","0",5,"0","0","","","","0"
