id,invoice_id,product_id,product_name,remark,qty,price,order_date,profit
53,2,1,Insta360 X3,(Demo Unit) SN: IAQEB2306U4C7U,1,1600,2023-08-10,"0"
54,2,1,Insta360 X3,(Bundle) SN: IAQEB2306USWGW,1,1950,2023-08-10,"0"
55,2,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-08-10,"0"
64,3,1,Insta360 X3,(Demo Unit) SN: IAQEB2306UDCPS,1,1600,2023-08-11,"0"
65,3,1,Insta360 X3,(Bundle) SN: IAQEB2306U4KBA,1,1950,2023-08-11,"0"
66,3,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-08-11,"0"
67,4,39,Insta360 X3 Battery,"",5,120,2023-08-12,"0"
68,4,67,Insta360 Vibration Damper ,"",1,198,2023-08-12,"0"
69,4,40,Insta360 X3 Fast Charge Hub ,"",5,165,2023-08-12,"0"
70,4,49,Insta360 One RS Sticky Lens Guard,"",3,66,2023-08-12,"0"
71,4,44,Insta360 One RS Battery Base,"",3,100,2023-08-12,"0"
72,4,25,Insta360 Motorcycle Mount Bundle ,"",3,150,2023-08-12,"0"
73,4,48,Insta360 One X2 Lens Guard,"",5,66,2023-08-12,"0"
74,5,1,Insta360 X3,(Bundle),10,1950,2023-08-14,"0"
75,5,15,Insta360 Bullet Time Bundle ,"",10,"0",2023-08-14,"0"
76,6,1,Insta360 X3,"",10,1820,2023-08-15,"0"
77,6,40,Insta360 X3 Fast Charge Hub ,"",5,166,2023-08-15,"0"
87,7,1,Insta360 X3,(With Stick) ,3,1870,2023-08-16,"0"
88,7,16,Insta360 114cm Invisible Selfie Stick,"",3,"0",2023-08-16,"0"
89,7,39,Insta360 X3 Battery,"",2,120,2023-08-16,"0"
90,8,4,Insta360 Flow (Stone Gray),SN: IBBLB2305REAE4,1,709,2023-08-16,"0"
91,8,57,Insta360 Flow Spotlight ,"",1,107.1,2023-08-16,"0"
92,9,50,Insta360 One X2 Premium Lens Guard,"",1,206.1,2023-08-16,"0"
93,10,55,Insta360 X3 Lens Cap,"",1,39,2023-08-17,"0"
128,12,2,Insta360 One X2,(With Stick),1,1430,2023-08-18,"0"
129,12,32,Insta360 X3 Invisible Dive Case,"",1,340,2023-08-18,"0"
130,12,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-18,"0"
139,11,1,Insta360 X3,(Bundle),2,1950,2023-08-17,"0"
140,11,15,Insta360 Bullet Time Bundle ,"",2,"0",2023-08-17,"0"
141,11,47,Insta360 X3 Lens Guard ,"",3,66,2023-08-17,"0"
142,11,58,Insta360 X3 Screen Protector ,"",3,50,2023-08-17,"0"
143,11,39,Insta360 X3 Battery,"",2,120,2023-08-17,"0"
144,11,40,Insta360 X3 Fast Charge Hub ,"",2,165,2023-08-17,"0"
145,11,63,Insta360 X3 Horizontal Action Mount ,"",2,84,2023-08-17,"0"
146,11,31,Insta360 X3 Dive Case,"",2,270,2023-08-17,"0"
147,11,25,Insta360 Motorcycle Mount Bundle ,"",3,160,2023-08-17,"0"
148,11,28,Insta360 X Series Carry Case,"",2,66,2023-08-17,"0"
149,11,13,Insta360 Go 3 (64GB),"",2,1600,2023-08-17,"0"
150,11,34,Insta360 Go 3 Dive Case,"",2,200,2023-08-17,"0"
151,11,60,Insta360 Go 3 Quick Release Mount ,"",2,118,2023-08-17,"0"
152,11,15,Insta360 Bullet Time Bundle ,"",2,199,2023-08-17,"0"
153,11,1,Insta360 X3,(Bundle)(Demo),1,1750,2023-08-17,"0"
154,11,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-08-17,"0"
155,11,13,Insta360 Go 3 (64GB),(Demo),1,1500,2023-08-17,"0"
156,14,14,Insta360 Go 3 (128GB),SN: IBKEC2307H6GUQ,1,2049,2023-08-19,"0"
157,14,17,Insta360 2-in-1 Invisible Selfie Stick + Tripod,"",1,"0",2023-08-19,"0"
160,15,22,Insta360 GPS Action Remote ,"",1,314,2023-08-19,"0"
161,15,55,Insta360 X3 Lens Cap,"",1,39,2023-08-19,"0"
162,16,29,Insta360 Go 3 Carry Case,"",2,66,2023-08-19,"0"
178,18,14,Insta360 Go 3 (128GB),SN: IBKEC2307HBMPV,1,2219,2023-08-21,"0"
179,18,18,Insta360 Mini 2-in-1 Tripod,"",1,"0",2023-08-21,"0"
180,18,29,Insta360 Go 3 Carry Case,"",1,"0",2023-08-21,"0"
181,18,3,Insta360 Flow (Summit White),SN: IBBLA2305YWC4B,1,709,2023-08-21,"0"
185,19,31,Insta360 X3 Dive Case,"",3,270,2023-08-21,"0"
202,20,1,Insta360 X3,SN: IAQEB2307M39RX,1,2839,2023-08-21,"0"
203,20,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-08-21,"0"
204,20,69,"SanDisk Extreme Memory Card (128GB)	","",1,"0",2023-08-21,"0"
205,20,39,Insta360 X3 Battery,"",1,"0",2023-08-21,"0"
206,20,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-21,"0"
207,20,40,Insta360 X3 Fast Charge Hub ,"",1,"0",2023-08-21,"0"
208,20,47,Insta360 X3 Lens Guard ,"",1,"0",2023-08-21,"0"
209,20,28,Insta360 X Series Carry Case,"",1,"0",2023-08-21,"0"
210,21,1,Insta360 X3,SN: IAQEB2307M3P5Y,1,2399,2023-08-22,"0"
211,21,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-08-22,"0"
212,21,69,"SanDisk Extreme Memory Card (128GB)	","",1,"0",2023-08-22,"0"
213,21,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-22,"0"
214,22,1,Insta360 X3,SN: IAQEB2307KJ9CR,1,2249,2023-08-22,"0"
215,22,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-22,"0"
216,22,68,SanDisk Extreme Memory Card (64GB),"",1,"0",2023-08-22,"0"
217,22,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-22,"0"
218,22,47,Insta360 X3 Lens Guard ,"",1,"0",2023-08-22,"0"
219,23,41,Insta360 One X2 Battery ,"",1,189,2023-08-22,"0"
220,23,71,Delivery Fee,(Sarawak),1,30,2023-08-22,"0"
222,24,20,Insta360 Extended Edition Selfie Stick (New Version),"",1,399,2023-08-23,"0"
231,25,1,Insta360 X3,SN: IAQEB2307KMDNQ,1,3000,2023-08-24,"0"
232,25,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-24,"0"
233,25,69,"SanDisk Extreme Memory Card (128GB)	","",1,"0",2023-08-24,"0"
234,25,25,Insta360 Motorcycle Mount Bundle ,"",1,"0",2023-08-24,"0"
235,25,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-24,"0"
236,25,47,Insta360 X3 Lens Guard ,"",1,"0",2023-08-24,"0"
237,25,39,Insta360 X3 Battery,"",2,"0",2023-08-24,"0"
238,25,40,Insta360 X3 Fast Charge Hub ,"",1,"0",2023-08-24,"0"
239,26,14,Insta360 Go 3 (128GB),SN: IBKEC2307E4D5W,1,2159,2023-08-25,"0"
240,26,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-25,"0"
241,26,64,Insta360 Monkey Tail Mount,"",1,"0",2023-08-25,"0"
242,26,29,Insta360 Go 3 Carry Case,"",1,99,2023-08-25,"0"
243,26,70,Insta360 All-Purpose Tripod,"",1,169,2023-08-25,"0"
244,27,59,Insta360 Go 3 Screen Protector ,"",1,50,2023-08-25,"0"
245,17,1,Insta360 X3,"",20,1820,2023-08-20,"0"
246,17,39,Insta360 X3 Battery,"",10,120,2023-08-20,"0"
247,17,47,Insta360 X3 Lens Guard ,"",5,66,2023-08-20,"0"
268,28,14,Insta360 Go 3 (128GB),"",5,1700,2023-08-25,"0"
269,28,20,Insta360 Extended Edition Selfie Stick (New Version),"",1,290,2023-08-25,"0"
270,28,39,Insta360 X3 Battery,"",5,120,2023-08-25,"0"
271,28,40,Insta360 X3 Fast Charge Hub ,"",5,165,2023-08-25,"0"
272,28,22,Insta360 GPS Action Remote ,"",3,265,2023-08-25,"0"
273,28,17,Insta360 2-in-1 Invisible Selfie Stick + Tripod,"",3,85,2023-08-25,"0"
274,28,29,Insta360 Go 3 Carry Case,"",2,66,2023-08-25,"0"
275,29,1,Insta360 X3,SN: IAQEB23077WCRV,1,2899,2023-08-26,"0"
276,29,19,Insta360 Power Selfie Stick ,"",1,"0",2023-08-26,"0"
277,29,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-08-26,"0"
278,29,69,"SanDisk Extreme Memory Card (128GB)	","",1,"0",2023-08-26,"0"
279,29,39,Insta360 X3 Battery,"",1,"0",2023-08-26,"0"
280,29,40,Insta360 X3 Fast Charge Hub ,"",1,"0",2023-08-26,"0"
281,29,28,Insta360 X Series Carry Case,"",1,"0",2023-08-26,"0"
282,29,47,Insta360 X3 Lens Guard ,"",1,"0",2023-08-26,"0"
283,29,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-26,"0"
284,30,1,Insta360 X3,SN: IAQEB23077E35E,1,2399,2023-08-26,"0"
285,30,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-26,"0"
286,30,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-26,"0"
287,30,68,SanDisk Extreme Memory Card (64GB),"",1,"0",2023-08-26,"0"
288,30,47,Insta360 X3 Lens Guard ,"",1,"0",2023-08-26,"0"
289,30,25,Insta360 Motorcycle Mount Bundle ,"",1,"0",2023-08-26,"0"
290,31,1,Insta360 X3,SN: IAQEB23077WN6H,1,2249,2023-08-27,"0"
291,31,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-27,"0"
292,31,69,"SanDisk Extreme Memory Card (128GB)	","",1,"0",2023-08-27,"0"
293,31,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-27,"0"
294,32,1,Insta360 X3,SN: IAQEB2307M5A8C,1,2472,2023-08-27,"0"
295,32,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-08-27,"0"
296,32,68,SanDisk Extreme Memory Card (64GB),"",1,"0",2023-08-27,"0"
297,32,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-27,"0"
298,32,47,Insta360 X3 Lens Guard ,"",1,"0",2023-08-27,"0"
299,32,25,Insta360 Motorcycle Mount Bundle ,"",1,"0",2023-08-27,"0"
300,32,35,Insta360 x SmallRig X3 Utility Frame ,"",1,250,2023-08-27,"0"
301,32,58,Insta360 X3 Screen Protector ,"",1,79,2023-08-27,"0"
302,32,39,Insta360 X3 Battery,"",1,199,2023-08-27,"0"
310,35,1,Insta360 X3,(Stick),4,1870,2023-08-28,"0"
311,35,16,Insta360 114cm Invisible Selfie Stick,"",4,"0",2023-08-28,"0"
312,35,14,Insta360 Go 3 (128GB),"",3,1700,2023-08-28,"0"
313,36,13,Insta360 Go 3 (64GB),SN: IBKEB23059YHSA,1,1919,2023-08-28,"0"
314,36,17,Insta360 2-in-1 Invisible Selfie Stick + Tripod,"",1,"0",2023-08-28,"0"
315,33,43,Insta360 Bullet Time Tripod,"",1,169,2023-08-28,"0"
316,34,1,Insta360 X3,(Bundle),5,1920,2023-08-28,"0"
317,34,15,Insta360 Bullet Time Bundle ,"",5,"0",2023-08-28,"0"
318,34,1,Insta360 X3,(Demo),1,1600,2023-08-28,"0"
319,37,36,Insta360 x SmallRig One X2 Utility Frame ,"",1,170,2023-08-30,"0"
320,38,1,Insta360 X3,SN: IAQEB2307M6XC5,1,2509,2023-08-30,"0"
321,38,20,Insta360 Extended Edition Selfie Stick (New Version),"",1,"0",2023-08-30,"0"
322,38,68,SanDisk Extreme Memory Card (64GB),"",1,"0",2023-08-30,"0"
323,38,55,Insta360 X3 Lens Cap,"",1,"0",2023-08-30,"0"
324,39,14,Insta360 Go 3 (128GB),SN: IBKEC2307MSU96,1,1999,2023-08-30,"0"
333,40,73,Cancel order ,"",1,"0",2023-08-30,"0"
334,41,32,Insta360 X3 Invisible Dive Case,"",3,340,2023-09-01,"0"
335,42,74,Insta360 Flow (Demo Set),"",1,300,2023-09-01,"0"
336,42,32,Insta360 X3 Invisible Dive Case,"",2,340,2023-09-01,"0"
337,43,8,Insta360 One RS Twin Edition,SN: IRBEN23063V53B,1,1750,2023-09-01,"0"
338,43,32,Insta360 X3 Invisible Dive Case,"",6,340,2023-09-01,"0"
339,43,45,Insta360 One RS Fast Charge Hub ,"",3,130,2023-09-01,"0"
340,43,22,Insta360 GPS Action Remote ,"",3,265,2023-09-01,"0"
341,43,40,Insta360 X3 Fast Charge Hub ,"",3,165,2023-09-01,"0"
342,43,20,Insta360 Extended Edition Selfie Stick (New Version),"",2,290,2023-09-01,"0"
343,43,44,Insta360 One RS Battery Base,"",5,100,2023-09-01,"0"
344,43,17,Insta360 2-in-1 Invisible Selfie Stick + Tripod,"",1,85,2023-09-01,"0"
345,43,72,Insta360 Go 3 Magnet Pendant Safety Cord,"",7,18,2023-09-01,"0"
378,13,1,Insta360 X3,"",20,1920,2023-08-18,"0"
379,13,8,Insta360 One RS Twin Edition,"",2,1740,2023-08-18,"0"
380,13,7,Insta360 One RS 4K Edition,"",2,1000,2023-08-18,"0"
381,13,13,Insta360 Go 3 (64GB),"",2,1600,2023-08-18,"0"
382,13,14,Insta360 Go 3 (128GB),"",12,1700,2023-08-18,"0"
383,13,20,Insta360 Extended Edition Selfie Stick (New Version),"",1,295,2023-08-18,"0"
384,13,40,Insta360 X3 Fast Charge Hub ,"",3,165,2023-08-18,"0"
385,13,15,Insta360 Bullet Time Bundle ,"",20,"0",2023-08-18,"0"
386,13,41,Insta360 One X2 Battery ,"",3,120,2023-08-18,"0"
387,13,39,Insta360 X3 Battery,"",2,120,2023-08-18,"0"
388,44,1,Insta360 X3,(Stick) SN: IAQEB2307M34F9,1,1870,2023-09-02,"0"
389,44,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-09-02,"0"
390,44,39,Insta360 X3 Battery,"",5,120,2023-09-02,"0"
391,44,40,Insta360 X3 Fast Charge Hub ,"",3,165,2023-09-02,"0"
392,45,1,Insta360 X3,SN: IAQEB2307JJUC7,1,2049,2023-09-02,"0"
393,45,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-09-02,"0"
394,45,69,"SanDisk Extreme Memory Card (128GB)	","",1,"0",2023-09-02,"0"
395,45,55,Insta360 X3 Lens Cap,"",1,"0",2023-09-02,"0"
396,46,20,Insta360 Extended Edition Selfie Stick (New Version),"",1,399,2023-09-02,"0"
397,47,1,Insta360 X3,SN: IAQEB2307KED8M,1,2389,2023-09-02,"0"
398,47,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-09-02,"0"
399,47,68,SanDisk Extreme Memory Card (64GB),"",1,"0",2023-09-02,"0"
400,47,55,Insta360 X3 Lens Cap,"",1,"0",2023-09-02,"0"
401,47,47,Insta360 X3 Lens Guard ,"",1,"0",2023-09-02,"0"
402,47,25,Insta360 Motorcycle Mount Bundle ,"",1,"0",2023-09-02,"0"
403,48,25,Insta360 Motorcycle Mount Bundle ,"",1,199,2023-09-03,"0"
404,49,1,Insta360 X3,SN: IAQEB2306UC8HE,1,2639,2023-09-04,"0"
405,49,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-09-04,"0"
406,49,69,"SanDisk Extreme Memory Card (128GB)	","",1,40,2023-09-04,"0"
407,49,69,"SanDisk Extreme Memory Card (128GB)	","",1,95,2023-09-04,"0"
408,49,55,Insta360 X3 Lens Cap,"",1,"0",2023-09-04,"0"
409,49,32,Insta360 X3 Invisible Dive Case,"",1,"0",2023-09-04,"0"
410,49,39,Insta360 X3 Battery,"",1,189,2023-09-04,"0"
411,50,1,Insta360 X3,SN: IAQEB2306U4Q9W,1,2389,2023-09-04,"0"
412,50,16,Insta360 114cm Invisible Selfie Stick,"",1,"0",2023-09-04,"0"
413,50,69,"SanDisk Extreme Memory Card (128GB)	","",1,40,2023-09-04,"0"
414,50,25,Insta360 Motorcycle Mount Bundle ,"",1,"0",2023-09-04,"0"
415,50,55,Insta360 X3 Lens Cap,"",1,"0",2023-09-04,"0"
416,50,47,Insta360 X3 Lens Guard ,"",1,"0",2023-09-04,"0"
417,50,35,Insta360 x SmallRig X3 Utility Frame ,"",1,279,2023-09-04,"0"
418,51,48,Insta360 One X2 Lens Guard,"",1,99,2023-09-05,"0"
425,53,1,Insta360 X3,SN : IAQEB2307KJ6FW,1,2289,2023-09-07,"0"
426,53,15,Insta360 Bullet Time Bundle ,"",1,"0",2023-09-07,"0"
427,53,69,"SanDisk Extreme Memory Card (128GB)	","",1,40,2023-09-07,"0"
428,53,55,Insta360 X3 Lens Cap,"",1,"0",2023-09-07,"0"
429,53,47,Insta360 X3 Lens Guard ,"",1,99,2023-09-07,"0"
